,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Has_Cabin,Family_size,IsAlone,title,AgeGroup,FarePerPerson
205,206,0,3,female,2.0,0,1,10.4625,S,1,2,0,Miss,Child,5.23125
206,207,0,3,male,32.0,1,0,15.85,S,0,2,0,Mr,Adult,7.925
207,208,1,3,male,26.0,0,0,18.7875,C,0,1,1,Mr,Adult,18.7875
208,209,1,3,female,16.0,0,0,7.75,Q,0,1,1,Miss,Teen,7.75
209,210,1,1,male,40.0,0,0,31.0,C,1,1,1,Mr,Adult,31.0
210,211,0,3,male,24.0,0,0,7.05,S,0,1,1,Mr,Adult,7.05
211,212,1,2,female,35.0,0,0,21.0,S,0,1,1,Miss,Adult,21.0
212,213,0,3,male,22.0,0,0,7.25,S,0,1,1,Mr,Adult,7.25
213,214,0,2,male,30.0,0,0,13.0,S,0,1,1,Mr,Adult,13.0
214,215,0,3,male,25.0,1,0,7.75,Q,0,2,0,Mr,Adult,3.875
215,216,1,1,female,31.0,1,0,113.275,C,1,2,0,Miss,Adult,56.6375
216,217,1,3,female,27.0,0,0,7.925,S,0,1,1,Miss,Adult,7.925
217,218,0,2,male,42.0,1,0,27.0,S,0,2,0,Mr,Adult,13.5
218,219,1,1,female,32.0,0,0,76.2917,C,1,1,1,Miss,Adult,76.2917
219,220,0,2,male,30.0,0,0,10.5,S,0,1,1,Mr,Adult,10.5
220,221,1,3,male,16.0,0,0,8.05,S,0,1,1,Mr,Teen,8.05
221,222,0,2,male,27.0,0,0,13.0,S,0,1,1,Mr,Adult,13.0
222,223,0,3,male,51.0,0,0,8.05,S,0,1,1,Mr,Adult,8.05
223,224,0,3,male,25.0,0,0,7.8958,S,0,1,1,Mr,Adult,7.8958
224,225,1,1,male,38.0,1,0,90.0,S,1,2,0,Mr,Adult,45.0
225,226,0,3,male,22.0,0,0,9.35,S,0,1,1,Mr,Adult,9.35
226,227,1,2,male,19.0,0,0,10.5,S,0,1,1,Mr,Adult,10.5
227,228,0,3,male,20.5,0,0,7.25,S,0,1,1,Mr,Adult,7.25
228,229,0,2,male,18.0,0,0,13.0,S,0,1,1,Mr,Teen,13.0
229,230,0,3,female,21.5,3,1,25.4667,S,0,5,0,Miss,Adult,5.0933399999999995
230,231,1,1,female,35.0,1,0,83.475,S,1,2,0,Mrs,Adult,41.7375
231,232,0,3,male,29.0,0,0,7.775,S,0,1,1,Mr,Adult,7.775
232,233,0,2,male,59.0,0,0,13.5,S,0,1,1,Mr,Adult,13.5
233,234,1,3,female,5.0,4,2,31.3875,S,0,7,0,Miss,Child,4.483928571428572
234,235,0,2,male,24.0,0,0,10.5,S,0,1,1,Mr,Adult,10.5
235,236,0,3,female,21.5,0,0,7.55,S,0,1,1,Miss,Adult,7.55
236,237,0,2,male,44.0,1,0,26.0,S,0,2,0,Mr,Adult,13.0
237,238,1,2,female,8.0,0,2,26.25,S,0,3,0,Miss,Child,8.75
238,239,0,2,male,19.0,0,0,10.5,S,0,1,1,Mr,Adult,10.5
239,240,0,2,male,33.0,0,0,12.275,S,0,1,1,Mr,Adult,12.275
240,241,0,3,female,21.5,1,0,14.4542,C,0,2,0,Miss,Adult,7.2271
241,242,1,3,female,21.5,1,0,15.5,Q,0,2,0,Miss,Adult,7.75
242,243,0,2,male,29.0,0,0,10.5,S,0,1,1,Mr,Adult,10.5
243,244,0,3,male,22.0,0,0,7.125,S,0,1,1,Mr,Adult,7.125
244,245,0,3,male,30.0,0,0,7.225,C,0,1,1,Mr,Adult,7.225
245,246,0,1,male,44.0,2,0,90.0,Q,1,3,0,Rare,Adult,30.0
246,247,0,3,female,25.0,0,0,7.775,S,0,1,1,Miss,Adult,7.775
247,248,1,2,female,24.0,0,2,14.5,S,0,3,0,Mrs,Adult,4.833333333333333
248,249,1,1,male,37.0,1,1,52.5542,S,1,3,0,Mr,Adult,17.518066666666666
249,250,0,2,male,54.0,1,0,26.0,S,0,2,0,Rare,Adult,13.0
250,251,0,3,male,25.0,0,0,7.25,S,0,1,1,Mr,Adult,7.25
251,252,0,3,female,29.0,1,1,10.4625,S,1,3,0,Mrs,Adult,3.4875000000000003
252,253,0,1,male,62.0,0,0,26.55,S,1,1,1,Mr,Senior,26.55
253,254,0,3,male,30.0,1,0,16.1,S,0,2,0,Mr,Adult,8.05
254,255,0,3,female,41.0,0,2,20.2125,S,0,3,0,Mrs,Adult,6.7375
255,256,1,3,female,29.0,0,2,15.2458,C,0,3,0,Mrs,Adult,5.081933333333333
256,257,1,1,female,35.0,0,0,79.2,C,0,1,1,Mrs,Adult,79.2
257,258,1,1,female,30.0,0,0,86.5,S,1,1,1,Miss,Adult,86.5
258,259,1,1,female,35.0,0,0,512.3292,C,0,1,1,Miss,Adult,512.3292
259,260,1,2,female,50.0,0,1,26.0,S,0,2,0,Mrs,Adult,13.0
260,261,0,3,male,25.0,0,0,7.75,Q,0,1,1,Mr,Adult,7.75
261,262,1,3,male,3.0,4,2,31.3875,S,0,7,0,Master,Child,4.483928571428572
262,263,0,1,male,52.0,1,1,79.65,S,1,3,0,Mr,Adult,26.55
263,264,0,1,male,40.0,0,0,0.0,S,1,1,1,Mr,Adult,0.0
264,265,0,3,female,21.5,0,0,7.75,Q,0,1,1,Miss,Adult,7.75
265,266,0,2,male,36.0,0,0,10.5,S,0,1,1,Mr,Adult,10.5
266,267,0,3,male,16.0,4,1,39.6875,S,0,6,0,Mr,Teen,6.614583333333333
267,268,1,3,male,25.0,1,0,7.775,S,0,2,0,Mr,Adult,3.8875
268,269,1,1,female,58.0,0,1,153.4625,S,1,2,0,Mrs,Adult,76.73125
269,270,1,1,female,35.0,0,0,135.6333,S,1,1,1,Miss,Adult,135.6333
270,271,0,1,male,40.0,0,0,31.0,S,0,1,1,Mr,Adult,31.0
271,272,1,3,male,25.0,0,0,0.0,S,0,1,1,Mr,Adult,0.0
272,273,1,2,female,41.0,0,1,19.5,S,0,2,0,Mrs,Adult,9.75
273,274,0,1,male,37.0,0,1,29.7,C,1,2,0,Mr,Adult,14.85
274,275,1,3,female,21.5,0,0,7.75,Q,0,1,1,Miss,Adult,7.75
275,276,1,1,female,63.0,1,0,77.9583,S,1,2,0,Miss,Senior,38.97915
276,277,0,3,female,45.0,0,0,7.75,S,0,1,1,Miss,Adult,7.75
277,278,0,2,male,30.0,0,0,0.0,S,0,1,1,Mr,Adult,0.0
278,279,0,3,male,7.0,4,1,29.125,Q,0,6,0,Master,Child,4.854166666666667
279,280,1,3,female,35.0,1,1,20.25,S,0,3,0,Mrs,Adult,6.75
280,281,0,3,male,65.0,0,0,7.75,Q,0,1,1,Mr,Senior,7.75
281,282,0,3,male,28.0,0,0,7.8542,S,0,1,1,Mr,Adult,7.8542
282,283,0,3,male,16.0,0,0,9.5,S,0,1,1,Mr,Teen,9.5
283,284,1,3,male,19.0,0,0,8.05,S,0,1,1,Mr,Adult,8.05
284,285,0,1,male,40.0,0,0,26.0,S,1,1,1,Mr,Adult,26.0
285,286,0,3,male,33.0,0,0,8.6625,C,0,1,1,Mr,Adult,8.6625
286,287,1,3,male,30.0,0,0,9.5,S,0,1,1,Mr,Adult,9.5
287,288,0,3,male,22.0,0,0,7.8958,S,0,1,1,Mr,Adult,7.8958
288,289,1,2,male,42.0,0,0,13.0,S,0,1,1,Mr,Adult,13.0
289,290,1,3,female,22.0,0,0,7.75,Q,0,1,1,Miss,Adult,7.75
290,291,1,1,female,26.0,0,0,78.85,S,0,1,1,Miss,Adult,78.85
291,292,1,1,female,19.0,1,0,91.0792,C,1,2,0,Mrs,Adult,45.5396
292,293,0,2,male,36.0,0,0,12.875,C,1,1,1,Mr,Adult,12.875
293,294,0,3,female,24.0,0,0,8.85,S,0,1,1,Miss,Adult,8.85
294,295,0,3,male,24.0,0,0,7.8958,S,0,1,1,Mr,Adult,7.8958
295,296,0,1,male,40.0,0,0,27.7208,C,0,1,1,Mr,Adult,27.7208
296,297,0,3,male,23.5,0,0,7.2292,C,0,1,1,Mr,Adult,7.2292
297,298,0,1,female,2.0,1,2,151.55,S,1,4,0,Miss,Child,37.8875
298,299,1,1,male,40.0,0,0,30.5,S,1,1,1,Mr,Adult,30.5
299,300,1,1,female,50.0,0,1,247.5208,C,1,2,0,Mrs,Adult,123.7604
300,301,1,3,female,21.5,0,0,7.75,Q,0,1,1,Miss,Adult,7.75
301,302,1,3,male,25.0,2,0,23.25,Q,0,3,0,Mr,Adult,7.75
302,303,0,3,male,19.0,0,0,0.0,S,0,1,1,Mr,Adult,0.0
303,304,1,2,female,28.0,0,0,12.35,Q,1,1,1,Miss,Adult,12.35
304,305,0,3,male,25.0,0,0,8.05,S,0,1,1,Mr,Adult,8.05
305,306,1,1,male,0.92,1,2,151.55,S,1,4,0,Master,Child,37.8875
306,307,1,1,female,35.0,0,0,110.8833,C,0,1,1,Miss,Adult,110.8833
307,308,1,1,female,17.0,1,0,108.9,C,1,2,0,Mrs,Teen,54.45
308,309,0,2,male,30.0,1,0,24.0,C,0,2,0,Mr,Adult,12.0
309,310,1,1,female,30.0,0,0,56.9292,C,1,1,1,Miss,Adult,56.9292
310,311,1,1,female,24.0,0,0,83.1583,C,1,1,1,Miss,Adult,83.1583
311,312,1,1,female,18.0,2,2,262.375,C,1,5,0,Miss,Teen,52.475
312,313,0,2,female,26.0,1,1,26.0,S,0,3,0,Mrs,Adult,8.666666666666666
313,314,0,3,male,28.0,0,0,7.8958,S,0,1,1,Mr,Adult,7.8958
314,315,0,2,male,43.0,1,1,26.25,S,0,3,0,Mr,Adult,8.75
315,316,1,3,female,26.0,0,0,7.8542,S,0,1,1,Miss,Adult,7.8542
316,317,1,2,female,24.0,1,0,26.0,S,0,2,0,Mrs,Adult,13.0
317,318,0,2,male,54.0,0,0,14.0,S,0,1,1,Rare,Adult,14.0
318,319,1,1,female,31.0,0,2,164.8667,S,1,3,0,Miss,Adult,54.95556666666667
